matricola;Classe
21213;2GL
21331;2QL
21157;2DI
21336;2QL
21187;2NE
21089;2LE
21127;2DI
21362;2HL
21132;2DI
21287;1LE
21397;2CI
21288;2AI
21402;2OE
21114;2DI
21116;2DI
21272;2DI
21252;2OE
21223;1FL
21261;2OE
21240;2OE
21419;2QL
21291;2PE
21183;2LE
21108;2IL
21312;2LE
21154;2AI
21301;2QL
21203;2EI
21139;2NE
21066;2NE
21350;2AI
21186;2ME
21196;2LE
21415;2GL
21392;1DI
21147;2HL
21376;2ME
21098;2AI
21161;2NE
21069;2BI
21367;2BI
21345;2GL
21149;2BI
21065;2DI
21226;2ME
21295;2GL
21321;2GL
21398;2AI
21383;2QL
21239;2DI
21280;2AI
21344;1AI
21144;2AI
21214;2DI
21156;2PE
21285;2FL
21424;2DI
21382;2PE
21095;2BI
21248;2BI
21129;2LE
21303;2FL
21366;2PE
21124;2DI
21234;1CI
21141;2FL
21342;2CI
21123;2BI
21404;1PE
21177;2ME
21411;2IL
21365;2LE
21418;2OE
21269;2BI
21371;2DI
21063;2DI
21394;1EI
21318;2DI
21143;2DI
21102;1NE
21103;2DI
21138;2GL
21308;2QL
21091;1AI
21208;2ME
21233;2FL
21260;2PE
21358;2PE
21406;2CI
21111;2BI
21343;2OE
21113;2PE
21322;2CI
21396;2AI
21092;2BI
21273;1BI
21405;1HL
21162;2FL
21071;2IL
21400;2IL
21306;2CI
21298;2FL
21359;2CI
21074;1FL
21221;2GL
21420;1EI
21175;2GL
21251;2CI
21416;2FL
21220;2CI
21146;2EI
21326;2FL
21352;2NE
21355;2OE
21364;1FL
21080;2CI
21086;2QL
21104;1NE
21389;2CI
21152;2GL
21070;2FL
21360;1BI
21168;1NE
21381;2HL
21160;2BI
21237;2CI
21136;2DI
21087;2AI
21314;2QL
21216;2HL
21158;2NE
21290;2NE
21243;2HL
21247;2NE
21414;2QL
21174;2EI
21229;2EI
21130;2HL
21423;2QL
21267;1ME
21090;2IL
21133;2IL
21145;2CI
21215;2HL
21153;2OE
21299;2EI
21347;2HL
21115;2DI
21268;2LE
21191;2GL
21121;2FL
21117;2AI
21265;2PE
21222;2FL
21181;1LE
21258;2LE
21198;2LE
21180;2LE
21256;2IL
21120;2IL
21278;2IL
21100;1AI
21217;2GL
21209;2FL
21125;2FL
21131;2DI
21077;2FL
21166;2ME
21189;2NE
21368;2FL
21274;2NE
21246;2PE
21099;1BI
21119;2LE
21304;2ME
21134;2ME
21197;2NE
21082;2PE
21373;2ME
21334;2ME
21333;2NE
21107;2AI
21178;2AI
21275;2NE
21142;2GL
21266;2NE
21412;2GL
21238;2AI
21354;2AI
21399;2CI
21064;2CI
21370;2HL
21072;2HL
21106;2HL
21296;2QL
21356;2FL
21302;2HL
21151;2IL
21155;2IL
21128;2HL
21310;2HL
21253;2CI
21385;2EI
21172;2EI
21241;2IL
21380;2BI
21311;2HL
21163;2BI
21270;2EI
21164;2GL
21401;2ME
21403;2FL
21088;1GL
21363;1PE
21218;2ME
21076;2ME
21188;2BI
21307;1EI
21075;2CI
21169;2CI
21228;2FL
21281;2FL
21284;2LE
21259;2LE
21126;2LE
21235;2EI
21369;2IL
21179;1LE
21277;2NE
21386;2IL
21185;2BI
21341;2PE
21379;2ME
21340;2HL
21206;2BI
21377;1LE
21378;2ME
21391;2NE
21338;2OE
21271;2OE
21282;2DI
21232;2DI
21137;2DI
21193;2QL
21390;2QL
21417;2QL
21105;2LE
